sim,n,seed,mu0_rmse,mu0_r2,mu1_rmse,mu1_r2,pi_rmse,pi_r2,pi_auc
0,500,42,0.1732914422096507,0.9130384104692963,0.19546513326330722,0.882743327519694,0.028923550107407714,0.9394357363797676,0.6491019993222635
1,500,43,0.10060668016839967,0.9704545632235175,0.08423662327570598,0.9775073588257415,0.038581951098352794,0.8913711557002697,0.6199827155751872
2,500,44,0.17503512339534302,0.9124118597324079,0.13568564866235183,0.9413858557608294,0.03722858193032075,0.9009423794860149,0.5986463133640553
3,500,45,0.11773797128991478,0.9585553824984011,0.1094322783095372,0.9632085219524414,0.024399600473136624,0.9555020013955644,0.6488461046027784
4,500,46,0.1500946651948412,0.9299872938940398,0.08897810137620081,0.9752606037241529,0.05241969716114343,0.7865110627838942,0.5858813741019857
5,500,47,0.16145583214347978,0.9236056955310084,0.18015824336180608,0.897630990930332,0.07077881292583066,0.6329712671340924,0.6184133774061831
6,500,48,0.07598766912780391,0.9823131314341654,0.11398953946009953,0.9607943395363109,0.007517504614961682,0.9956723501185453,0.6470333199518266
7,500,49,0.1045156439907875,0.9661028230638256,0.22228722952996988,0.8517717155252403,0.0378434634981633,0.8888977917382443,0.6578056048590644
8,500,50,0.11602183308871196,0.9597274266664436,0.11734268061725324,0.9559960681751287,0.059371627652673446,0.7363499522834942,0.5751809853289769
9,500,51,0.08109225480262672,0.9796511503463348,0.13227044599262855,0.9438232955412611,0.03486425750221852,0.9059666387934824,0.6334512169752444
10,500,52,0.21515211366489428,0.8682925962793145,0.14035821060323794,0.932377078415098,0.0397637388598916,0.8875308560538824,0.5896116162909836
11,500,53,0.09452166800893397,0.9733353290079648,0.2162861819480903,0.8482418753170688,0.03930479464123951,0.8847331175508041,0.6856276861889794
12,500,54,0.1555209514075372,0.9255528285251938,0.12880878949537863,0.947598183345949,0.021808163066632285,0.963402739823596,0.6549890948745911
13,500,55,0.1338338755892358,0.9472993582089013,0.12436685715834894,0.9530385952700592,0.02706329102984816,0.9461252808282641,0.6801728145690055
14,500,56,0.14229434041649847,0.9394056073727427,0.1633827467076428,0.917979703773832,0.028672872013891747,0.9384908700624561,0.6388419511096091
15,500,57,0.13922097347193077,0.9413992921937877,0.13898458104097272,0.9371031359219169,0.02221027728381648,0.9627143688404556,0.663074436763953
16,500,58,0.1257675949897256,0.9500844472091713,0.1185078405057112,0.9564317151387944,0.06895286117528394,0.6249035403685633,0.5623582215308834
17,500,59,0.23747434055403202,0.8369189991394768,0.07178352276283585,0.9838091909053928,0.03462968621196841,0.9133023933254536,0.6389318885448916
18,500,60,0.22743365621980835,0.8398086526951418,0.15856060111293704,0.9244960463400452,0.029948064263518055,0.9305604161826335,0.6293171717171718
19,500,61,0.14009899189895264,0.9403999479810071,0.15271599931813515,0.928777466443852,0.025096083065781465,0.9521889244904256,0.6546744747915967
20,500,62,0.1610751679897075,0.9181492028345338,0.18334868695038944,0.8909224517507787,0.055249001737292136,0.7592564795394452,0.5723211571385142
21,500,63,0.18472964059487706,0.8957455811627488,0.15288421195939633,0.9249460481584746,0.031744135400331185,0.9230358786681504,0.5989956843304294
22,500,64,0.14538524905179767,0.9377172245036169,0.07917727615627503,0.9795643992784958,0.03250128602211332,0.9221840958122792,0.6386699825592663
23,500,65,0.095880738231795,0.9720470803451766,0.12428357376446156,0.952498331417756,0.02007986035180197,0.9693503286024583,0.6628329395123049
24,500,66,0.1382497746684668,0.944429105239458,0.19874541606540816,0.8778031554531314,0.015037133024474047,0.9835642844153627,0.6440755333461464
25,500,67,0.17575885191295076,0.9057498922808326,0.09841614602005243,0.9690141005566789,0.06762563210537302,0.6511729743151478,0.5987878490454925
26,500,68,0.09845340407180829,0.9720859069897575,0.08856440993594518,0.9755289338391272,0.03078456432909266,0.9317711454843467,0.6072040479736114
27,500,69,0.16788360500907692,0.9195002204052172,0.15699589204540929,0.9179688362123066,0.03144086634851586,0.9294158586140027,0.6688473871638281
28,500,70,0.11551969375866251,0.9599778510410678,0.12999593662488812,0.944826704294459,0.06473185646348639,0.6858301680114699,0.6195575526000754
29,500,71,0.18115918298518374,0.8959050707168621,0.13527361216249617,0.9429744108734688,0.0161919599514315,0.9792103241275235,0.6376793032786885
