alpha,gamma,auction_type,init,exploration,asynchronous,n_bidders,median_opp_past_bid_index,winner_bid_index_state,r,boltzmann_temp_start,episodes,seed,avg_rev_last_1000,time_to_converge,avg_regret_of_seller
0.1,0.99,second,random,boltzmann,1,4,True,False,0.4,0.5,25163,0,0.8632000000000001,0.6149107817032945,0.20939872034336124
0.01,0.95,first,random,boltzmann,1,4,True,True,0.1,1.0,75247,1,0.8980000000000002,3.986869908434888e-05,0.16149215251106352
0.1,0.9,first,random,boltzmann,1,6,True,False,0.3,0.5,50728,2,0.9227000000000002,0.0,0.10294314776849077
0.01,0.0,second,zeros,boltzmann,1,4,True,True,0.4,1.0,35207,3,0.9212,0.8837163064163377,0.3038003806061294
0.001,0.25,first,random,boltzmann,0,4,False,True,0.4,1.0,35993,4,0.9047000000000003,5.5566360125579974e-05,0.16012002333787123
0.05,0.95,first,zeros,egreedy,0,2,False,True,0.4,0.5,72778,5,0.9000000000000002,0.0,0.24943801698315424
0.005,0.95,first,random,boltzmann,1,4,False,True,0.4,1.0,93202,6,0.8968000000000002,0.707291689019549,0.1552852943069891
0.005,0.75,second,zeros,egreedy,0,6,False,True,0.4,0.5,37948,7,1.0,0.3335617160324655,0.050890692526615364
0.05,0.9,second,random,egreedy,0,6,True,True,0.4,2.0,21232,8,0.9402,0.2421345139412208,0.06028165033911076
0.05,0.99,first,zeros,egreedy,1,4,False,True,0.1,0.1,51579,9,0.9310000000000002,5.816320595591229e-05,0.10978692878884816
