eta,c,reg,auction_type,bandit_type,n_bidders,r,seed,avg_rev,time_to_converge,avg_regret_seller
1.0,1.0,10.0,second,contextual,2,0.4,0,0.0,0.02,1.0
0.5,0.1,10.0,second,contextual,2,0.3,1,0.0,0.02,1.0
0.25,0.1,10.0,second,contextual,6,0.4,2,0.0,0.02,1.0
1.0,0.5,10.0,first,contextual,4,0.2,3,0.0,0.02,1.0
0.5,0.1,1.0,second,contextual,6,0.0,4,0.6512,0.025,0.34930999999999995
0.25,1.0,0.1,first,ucb,6,0.2,5,0.0,0.02022,0.9998060000000001
0.75,0.1,1.0,first,ucb,4,0.5,6,0.0,0.02024,0.9998
0.0,0.1,0.1,second,contextual,6,0.2,7,0.0,0.02,1.0
1.0,0.5,1.0,first,contextual,2,0.3,8,0.0,0.02,1.0
0.5,0.5,1.0,first,contextual,2,0.0,9,0.2819,0.09484,0.70615
0.5,0.5,1.0,second,ucb,4,0.4,10,0.0,0.0234,0.998066
0.0,1.0,1.0,second,contextual,4,0.0,11,0.5997,0.07894,0.41195999999999994
0.25,0.5,0.1,second,contextual,4,0.0,12,0.6067,0.23432,0.406
0.25,2.0,0.1,first,contextual,4,0.4,13,0.0,0.02,1.0
0.0,2.0,1.0,first,contextual,2,0.1,14,0.0,0.02,1.0
1.0,0.5,10.0,second,ucb,6,0.4,15,0.0,0.02022,0.9998360000000001
0.25,0.1,1.0,first,ucb,6,0.4,16,0.0,0.02024,0.9997760000000001
0.25,2.0,1.0,first,contextual,4,0.1,17,0.0,0.02,1.0
0.75,0.5,1.0,first,contextual,2,0.3,18,0.0,0.02,1.0
0.0,0.5,1.0,second,contextual,2,0.1,19,0.0,0.02,1.0
0.25,0.1,10.0,second,contextual,2,0.5,20,0.0,0.02,1.0
0.75,1.0,0.1,first,ucb,2,0.3,21,0.0,0.02036,0.9998119999999999
1.0,2.0,1.0,second,ucb,6,0.0,22,0.5123,0.51248,0.46170399999999995
0.25,2.0,0.1,first,ucb,6,0.5,23,0.0,0.02022,0.99979
0.25,2.0,0.1,first,ucb,2,0.5,24,0.0,0.0203,0.999852
0.75,0.1,0.1,second,contextual,4,0.0,25,0.5323999999999999,0.00384,0.47023799999999993
0.5,1.0,0.1,first,contextual,4,0.1,26,0.0,0.02,1.0
1.0,1.0,0.1,second,ucb,4,0.3,27,0.0,0.02022,0.999846
0.0,2.0,10.0,second,contextual,2,0.0,28,0.3831,0.96752,0.627012
1.0,2.0,0.1,first,ucb,2,0.2,29,0.0,0.02024,0.9998239999999999
0.0,2.0,10.0,second,ucb,2,0.3,30,0.0,0.0205,0.999764
1.0,0.5,0.1,second,contextual,2,0.1,31,0.0,0.02,1.0
0.5,0.5,10.0,second,contextual,2,0.5,32,0.0,0.02,1.0
0.75,0.1,1.0,second,ucb,6,0.0,33,0.43720000000000003,0.9963,0.5221819999999999
1.0,0.5,1.0,first,ucb,2,0.0,34,0.20000000000000004,0.2624,0.77577
0.5,0.5,1.0,second,contextual,6,0.2,35,0.0,0.02,1.0
0.0,0.5,0.1,second,contextual,2,0.0,36,0.3917,0.98808,0.627902
0.0,2.0,10.0,first,contextual,4,0.0,37,0.5746999999999999,0.0224,0.4292659999999999
0.75,0.1,1.0,first,ucb,6,0.0,38,0.4030000000000001,0.03292,0.5971219999999998
0.0,1.0,0.1,second,ucb,2,0.5,39,0.0,0.02034,0.9998980000000001
0.75,1.0,0.1,second,ucb,6,0.1,40,0.0,0.0202,0.99984
0.5,0.1,1.0,second,ucb,2,0.1,41,0.35220000000000007,0.0603,0.65263
0.25,2.0,0.1,second,ucb,4,0.4,42,0.0,0.02024,0.999828
0.5,0.1,0.1,second,contextual,6,0.5,43,0.0,0.02,1.0
0.0,0.5,1.0,second,ucb,6,0.5,44,0.0,0.02022,0.999818
0.0,0.1,0.1,second,ucb,6,0.5,45,0.0,0.02018,0.999846
0.5,0.5,0.1,second,ucb,4,0.4,46,0.0,0.02022,0.99984
1.0,0.1,10.0,second,contextual,4,0.4,47,0.0,0.02,1.0
0.25,2.0,0.1,first,contextual,6,0.0,48,0.602,0.03538,0.3949639999999999
1.0,0.1,0.1,second,ucb,6,0.4,49,0.0,0.04028,0.98996
0.25,0.5,10.0,second,ucb,6,0.1,50,0.4709,0.53784,0.512052
1.0,0.5,10.0,second,contextual,6,0.4,51,0.0,0.02,1.0
0.0,2.0,0.1,second,ucb,4,0.4,52,0.0,0.02024,0.9998360000000001
0.0,1.0,0.1,second,contextual,2,0.4,53,0.0,0.02,1.0
0.25,0.1,10.0,first,ucb,2,0.5,54,0.0,0.0203,0.9998560000000001
0.5,1.0,10.0,first,ucb,4,0.0,55,0.4196000000000001,0.81608,0.5591479999999999
0.75,2.0,0.1,second,contextual,6,0.0,56,0.5768,0.40388,0.43770599999999993
0.5,0.5,0.1,second,contextual,2,0.2,57,0.0,0.02,1.0
