bid2val,episodes,bid2val_std,bid2val_min,bid2val_max,N,alpha,gamma,egreedy,asynchronous,design,feedback,num_actions,explore_frac
0.9591999999999998,100000,0.019374209661299754,0.95,1.0,2,0.01,0.99,0,1,0.25,0,21,0.9
0.99825,100000,0.015634497113754576,0.75,1.0,2,0.1,0.0,1,0,0.0,1,21,0.5
0.8781000000000001,100000,0.08312875555426054,0.3,1.0,2,0.1,0.9,0,0,0.75,0,11,0.9
1.0,87071,0.0,1.0,1.0,2,0.01,0.0,1,1,0.0,0,11,0.5
1.0,90000,0.0,1.0,1.0,6,0.1,0.99,0,1,0.5,1,21,0.9
1.0,50001,0.0,1.0,1.0,6,0.1,0.99,0,1,0.5,0,11,0.5
0.9508499999999998,100000,0.054053468898859765,0.15,1.0,4,0.1,0.9,0,0,0.75,0,21,0.7
0.9000000000000002,72126,2.220446049250313e-16,0.9,0.9,4,0.001,0.9,1,0,1.0,0,11,0.7
1.0,50001,0.0,1.0,1.0,4,0.1,0.0,0,0,0.25,0,11,0.5
1.0,90000,0.0,1.0,1.0,8,0.001,0.9,1,0,0.5,1,21,0.9
0.8499999999999998,90000,2.220446049250313e-16,0.85,0.85,2,0.001,0.99,0,1,0.25,0,21,0.9
0.9780000000000001,100000,0.06384355879804947,0.6,1.0,2,0.1,0.0,0,0,0.25,0,6,0.9
1.0,70001,0.0,1.0,1.0,8,0.001,0.9,0,0,0.25,0,6,0.7
1.0,70001,0.0,1.0,1.0,4,0.001,0.0,1,1,0.5,1,6,0.7
1.0,50001,0.0,1.0,1.0,8,0.1,0.99,0,1,0.0,0,21,0.5
0.9173499999999999,100000,0.10349626804865959,0.2,1.0,2,0.1,0.9,0,0,0.5,0,21,0.9
1.0,90000,0.0,1.0,1.0,4,0.01,0.0,1,1,0.25,0,21,0.9
1.0,90000,0.0,1.0,1.0,6,0.001,0.0,1,1,0.25,0,11,0.9
0.9499999999999997,93564,2.220446049250313e-16,0.95,0.95,2,0.01,0.0,1,1,0.75,1,21,0.9
1.0,70001,0.0,1.0,1.0,4,0.001,0.9,0,1,0.0,1,11,0.7
0.8000000000000002,70001,1.1102230246251565e-16,0.8,0.8,2,0.1,0.9,1,0,0.75,0,6,0.7
1.0,50001,0.0,1.0,1.0,8,0.01,0.99,0,0,0.25,0,21,0.5
1.0,90000,0.0,1.0,1.0,4,0.1,0.9,0,0,0.0,0,6,0.9
1.0,90000,0.0,1.0,1.0,8,0.01,0.99,0,1,0.0,1,6,0.9
1.0,50001,0.0,1.0,1.0,4,0.001,0.99,1,0,0.0,0,11,0.5
1.0,70001,0.0,1.0,1.0,4,0.1,0.9,1,1,0.25,1,21,0.7
1.0,50001,0.0,1.0,1.0,8,0.01,0.0,1,0,0.5,0,21,0.5
1.0,50001,0.0,1.0,1.0,4,0.01,0.0,1,1,0.5,0,21,0.5
0.98225,100000,0.023925666134927172,0.95,1.0,8,0.01,0.9,0,1,0.75,0,21,0.5
1.0,50001,0.0,1.0,1.0,6,0.1,0.99,1,1,0.0,1,21,0.5
1.0,54177,0.0,1.0,1.0,4,0.001,0.0,0,1,0.5,0,6,0.5
0.9977999999999999,100000,0.010731262740237058,0.9,1.0,8,0.001,0.99,0,1,0.75,1,21,0.7
1.0,70001,0.0,1.0,1.0,4,0.01,0.0,1,0,0.5,0,6,0.7
1.0,50001,0.0,1.0,1.0,8,0.1,0.99,0,1,0.25,0,6,0.5
0.15664999999999998,100000,0.06295456695109578,0.15,1.0,2,0.1,0.99,1,1,0.75,0,21,0.7
0.9163000000000002,100000,0.03693656724710621,0.9,1.0,6,0.1,0.99,0,1,1.0,1,11,0.7
0.9332,100000,0.048143119965369914,0.7,1.0,6,0.001,0.9,1,1,1.0,0,11,0.9
1.0,50001,0.0,1.0,1.0,4,0.1,0.0,1,1,0.25,1,21,0.5
1.0,90000,0.0,1.0,1.0,6,0.001,0.99,0,0,0.5,1,11,0.9
1.0,90000,0.0,1.0,1.0,8,0.01,0.0,0,1,0.5,1,6,0.9
0.9726999999999998,100000,0.024893975174728543,0.95,1.0,8,0.01,0.9,1,1,0.75,1,21,0.5
0.9550499999999997,100000,0.015066436207677,0.95,1.0,6,0.001,0.99,0,1,1.0,0,21,0.7
1.0,90000,0.0,1.0,1.0,8,0.01,0.99,1,1,0.5,0,11,0.9
1.0,70001,0.0,1.0,1.0,8,0.001,0.99,0,0,0.0,1,11,0.7
1.0,50001,0.0,1.0,1.0,6,0.01,0.9,0,0,0.0,0,6,0.5
1.0,50001,0.0,1.0,1.0,6,0.1,0.0,1,1,0.75,1,11,0.5
0.9677,100000,0.04781955666879398,0.7,1.0,4,0.001,0.0,0,0,0.75,0,11,0.7
1.0,70001,0.0,1.0,1.0,4,0.01,0.99,1,1,0.75,1,21,0.7
0.9000000000000002,90000,2.220446049250313e-16,0.9,0.9,2,0.001,0.9,0,1,0.75,0,11,0.9
1.0,50001,0.0,1.0,1.0,6,0.01,0.9,1,0,0.5,1,6,0.5
0.9499999999999997,59106,2.220446049250313e-16,0.95,0.95,2,0.1,0.9,1,1,0.75,0,21,0.5
1.0,90000,0.0,1.0,1.0,8,0.1,0.99,1,0,0.5,0,11,0.9
1.0,90000,0.0,1.0,1.0,2,0.01,0.99,1,0,0.0,0,21,0.9
1.0,90000,0.0,1.0,1.0,4,0.01,0.99,1,1,0.75,1,21,0.9
1.0,90000,0.0,1.0,1.0,2,0.1,0.99,0,1,0.5,0,6,0.9
1.0,55217,0.0,1.0,1.0,4,0.1,0.9,1,1,0.5,1,21,0.5
