budget_multiplier,auction_type,objective,n_bidders,metric_name,metric_value
0.25,first,utility_max,2,mean_platform_revenue,731.6456466860733
0.25,first,utility_max,2,mean_effective_poa,0.4242656056098599
0.25,first,utility_max,2,mean_bid_to_value,0.43797385276377315
0.25,first,utility_max,4,mean_platform_revenue,1355.7667591608304
0.25,first,utility_max,4,mean_effective_poa,0.7380395910757999
0.25,first,utility_max,4,mean_bid_to_value,0.7512065967260327
0.25,first,value_max,2,mean_platform_revenue,667.8771259928974
0.25,first,value_max,2,mean_effective_poa,0.44437007524365113
0.25,first,value_max,2,mean_bid_to_value,0.43797952411655955
0.25,first,value_max,4,mean_platform_revenue,1436.2469511075685
0.25,first,value_max,4,mean_effective_poa,0.7452417439843918
0.25,first,value_max,4,mean_bid_to_value,0.7663831478339367
0.25,second,utility_max,2,mean_platform_revenue,813.7346206705733
0.25,second,utility_max,2,mean_effective_poa,0.42788030871642696
0.25,second,utility_max,2,mean_bid_to_value,0.6194462249160301
0.25,second,utility_max,4,mean_platform_revenue,1354.738816449692
0.25,second,utility_max,4,mean_effective_poa,0.702096768454893
0.25,second,utility_max,4,mean_bid_to_value,0.8681393739599461
0.25,second,value_max,2,mean_platform_revenue,769.0378275619623
0.25,second,value_max,2,mean_effective_poa,0.41587767131748227
0.25,second,value_max,2,mean_bid_to_value,0.6516149742857205
0.25,second,value_max,4,mean_platform_revenue,1531.3268711021387
0.25,second,value_max,4,mean_effective_poa,0.7416854648944536
0.25,second,value_max,4,mean_bid_to_value,0.9825884691228015
0.5,first,utility_max,2,mean_platform_revenue,1431.5482218047734
0.5,first,utility_max,2,mean_effective_poa,0.8371908199202386
0.5,first,utility_max,2,mean_bid_to_value,0.8528356222440723
0.5,first,utility_max,4,mean_platform_revenue,1902.5768854061487
0.5,first,utility_max,4,mean_effective_poa,0.9804726293855512
0.5,first,utility_max,4,mean_bid_to_value,0.9791433244507323
0.5,first,value_max,2,mean_platform_revenue,1335.7371889462067
0.5,first,value_max,2,mean_effective_poa,0.8462772525960872
0.5,first,value_max,2,mean_bid_to_value,0.8708812623935659
0.5,first,value_max,4,mean_platform_revenue,2872.3277509610625
0.5,first,value_max,4,mean_effective_poa,1.0338341810589824
0.5,first,value_max,4,mean_bid_to_value,1.500403198797016
0.5,second,utility_max,2,mean_platform_revenue,1310.3208014745655
0.5,second,utility_max,2,mean_effective_poa,0.8374880833621832
0.5,second,utility_max,2,mean_bid_to_value,0.9988606858888982
0.5,second,utility_max,4,mean_platform_revenue,1622.0030742904141
0.5,second,utility_max,4,mean_effective_poa,0.9249476757317112
0.5,second,utility_max,4,mean_bid_to_value,0.9940073206679594
0.5,second,value_max,2,mean_platform_revenue,1537.939528354749
0.5,second,value_max,2,mean_effective_poa,0.8360197180577649
0.5,second,value_max,2,mean_bid_to_value,1.318671023412386
0.5,second,value_max,4,mean_platform_revenue,3062.5962799632885
0.5,second,value_max,4,mean_effective_poa,1.051943880455387
0.5,second,value_max,4,mean_bid_to_value,1.9576449152207445
1.0,first,utility_max,2,mean_platform_revenue,1806.575082913662
1.0,first,utility_max,2,mean_effective_poa,1.0
1.0,first,utility_max,2,mean_bid_to_value,0.9998926743198847
1.0,first,utility_max,4,mean_platform_revenue,1962.937944235111
1.0,first,utility_max,4,mean_effective_poa,1.0000000000108311
1.0,first,utility_max,4,mean_bid_to_value,0.9998981794008955
1.0,first,value_max,2,mean_platform_revenue,2671.452545455945
1.0,first,value_max,2,mean_effective_poa,1.0509893179232932
1.0,first,value_max,2,mean_bid_to_value,1.7171742081135577
1.0,first,value_max,4,mean_platform_revenue,5744.734529821908
1.0,first,value_max,4,mean_effective_poa,1.1396067303665922
1.0,first,value_max,4,mean_bid_to_value,2.856983478639079
1.0,second,utility_max,2,mean_platform_revenue,1312.266592754278
1.0,second,utility_max,2,mean_effective_poa,1.0
1.0,second,utility_max,2,mean_bid_to_value,0.999899770915907
1.0,second,utility_max,4,mean_platform_revenue,1629.8449547718415
1.0,second,utility_max,4,mean_effective_poa,1.0
1.0,second,utility_max,4,mean_bid_to_value,0.9998997647398413
1.0,second,value_max,2,mean_platform_revenue,3076.1361413151058
1.0,second,value_max,2,mean_effective_poa,1.0673347648712384
1.0,second,value_max,2,mean_bid_to_value,2.740754404541291
1.0,second,value_max,4,mean_platform_revenue,6125.109906933272
1.0,second,value_max,4,mean_effective_poa,1.1338908520625786
1.0,second,value_max,4,mean_bid_to_value,3.888949368570286
