eta,alpha,gamma,auction_type,init,exploration,asynchronous,n_bidders,median_opp_past_bid_index,winner_bid_index_state,r,boltzmann_temp_start,episodes,seed,avg_rev_last_1000,time_to_converge,avg_regret_of_seller
1.0,0.05,0.25,second,random,egreedy,1,2,False,False,0.4,1.0,10681,0,0.34990000000000004,0.8154667165995694,0.6040820147926224
0.25,0.001,0.99,first,random,egreedy,1,2,False,False,0.5,1.0,16454,1,0.3996,0.8755317855840525,0.4543211377172724
0.0,0.05,0.75,first,zeros,egreedy,1,2,True,False,0.1,1.0,47723,2,0.318,0.8958782976761729,0.5044024893657146
0.75,0.05,0.75,second,zeros,egreedy,1,2,True,False,0.3,1.0,28044,3,0.3797,0.4375624019398089,0.6117743545856511
0.0,0.1,0.95,first,zeros,egreedy,1,4,True,False,0.3,1.0,31436,4,0.5681,0.8785786995800993,0.29833312126224704
0.75,0.05,0.75,second,random,egreedy,1,4,True,False,0.0,1.0,44729,5,0.5241,0.7227302197679358,0.43689999776431393
0.75,0.001,0.95,first,zeros,egreedy,1,6,False,True,0.3,1.0,12159,6,0.5841,0.8908627354223209,0.24529155358170898
0.0,0.005,0.95,second,random,egreedy,1,4,True,True,0.1,1.0,46806,7,0.5602999999999999,0.8026535059607742,0.40764218262615903
1.0,0.001,0.5,first,zeros,egreedy,1,6,True,False,0.5,1.0,47519,8,0.532,0.8791430796102612,0.26765714766724885
1.0,0.01,0.99,second,random,egreedy,1,2,False,True,0.5,1.0,44684,9,0.34720000000000006,0.9738385104287888,0.588866260853997
